,Food,Fodder,Fuelwood,Water,Coal,Oil,Natural Gas,Primary electricity
,,,,Wind,,,,
,,,,,,,,
1914,7.8,8.6,10.2,0,73.4,0,0,0
1915,8.6,9.8,11.2,0,70.4,0,0,0
1916,8.1,9.5,10.8,0,71.7,0,0,0
1917,7.4,8.7,10,0,73.9,0,0,0
1918,8.1,9.5,10.8,0,71.5,0,0,0
1919,7.6,9.1,10.4,0,72.9,0.1,0,0
1920,7.4,7.3,8.3,0,76.3,0.7,0,0
1921,8.2,5.5,9.2,0,76.4,0.8,0,0
1922,7.2,4.8,8.1,0,79.2,0.7,0,0
1923,6.6,4.4,7.3,0,80.5,0.6,0,0.6
1924,6.1,4.2,6.7,0,81.9,0.6,0,0.5
1925,6.1,4,6.5,0,79.7,3.1,0,0.6
1926,5.9,4.2,6.3,0,79.9,3,0,0.7
1927,5.8,4.4,6.1,0,79.6,3.4,0,0.7
1928,5.8,4.5,6.1,0,78.3,4.4,0,0.8
1929,5.3,4.3,5.6,0,79.5,4.4,0,0.8
1930,5.3,4.3,5.5,0,78.9,5.1,0,0.9
1931,5.7,4.6,5.9,0,77,6,0,0.8
1932,6.2,5.1,6.5,0,74.2,7,0,0.9
1933,6.1,5,6.4,0,73,8.6,0,1
1934,6.1,5.1,6.4,0,73.2,8.2,0,1.1
1935,6.3,5.3,6.6,0,71.3,9.3,0,1.3
1936,6.1,5.2,6.5,0,70,10.9,0,1.3
1937,5.7,4.7,6.1,0,71.8,10.3,0,1.4
1938,6,5,6.3,0,69.7,11.7,0,1.4
1939,6.3,5.2,4,0,71.6,11,0,1.7
1940,8.2,6.9,5.9,0,68.4,8.5,0,2.1
1941,9,7.7,7.6,0,72.6,0.7,0,2.4
1942,8.5,7.3,10.8,0,70.8,0.7,0,2
1943,8.4,7.1,10.2,0,71.6,0.5,0.1,2
1944,11.5,9.7,12.7,0,63.1,0.6,0.2,2.2
1945,9.2,7.5,9.9,0,66,5.1,0.2,2.1
1946,6.7,4.2,8.3,0,70.1,8.9,0.2,1.7
1947,6.1,3.8,9.8,0,68.1,10.3,0.2,1.7
1948,5.9,3.8,9.4,0,66.8,12.1,0.2,1.9
1949,5.3,3.4,8.4,0,67.2,13.8,0.3,1.7
1950,5.9,3.6,9.3,0,62.8,15.9,0.3,2.1
1951,5.4,3.1,8.4,0,62.9,17.4,0.3,2.4
1952,5.2,3.3,8,0,62.6,18,0.3,2.5
1953,5.7,3.8,8.7,0,61.2,17.8,0.3,2.5
1954,5.2,3.5,8,0,57.9,22.5,0.3,2.6
1955,5.2,3.5,7.9,0,55.7,24.7,0.4,2.7
1956,4.7,3.2,7.1,0,58.1,23.8,0.5,2.5
1957,4.6,3,6.8,0,58.1,24.7,0.6,2.3
1958,4.6,3,6.8,0,55.8,25.9,0.8,3.1
1959,4.7,2.9,6.8,0,52.9,27.9,1.8,3
1960,4.9,3,7,0,49.4,29.6,2.8,3.4
1961,4.7,2.8,7.1,0,48,30.4,3.7,3.3
1962,4.5,2.5,6.9,0,47.2,31.8,4.1,3
1963,4.3,2.2,6.7,0,44.5,34.8,3.9,3.5
1964,4.1,2,6.6,0,42.3,38.5,3.9,2.6
1965,4,1.9,6.7,0,38.1,41.9,3.8,3.5
1966,4,1.8,6.9,0,35,44.6,3.9,3.8
1967,3.8,1.6,6.8,0,32.6,47.7,4.2,3.4
1968,3.7,1.4,6.7,0,29.8,50.1,4.8,3.6
1969,3.4,1.3,6.5,0,27.8,52.3,5.2,3.5
1970,3.3,1.1,6.3,0,25,56,4.9,3.5
1971,3.2,0.9,6.2,0,21.9,59,5.7,3.1
1972,3.1,0.8,6,0,18.4,62.2,6.5,3
1973,2.9,0.7,5.8,0,17.2,63.8,7.1,2.5
1974,3,0.6,5.4,0,17.9,62.5,7.6,3.1
1975,3.2,0.6,5.9,0,17,60.4,9.1,3.9
1976,3,0.5,5.2,0,17.9,61.4,9.1,2.8
1977,3.1,0.4,5.4,0,18.5,58.8,9.6,4.1
1978,3,0.4,5.4,0,17.5,60,9.8,4
1979,2.9,0.3,5.4,0,18.5,58.4,10.6,3.8
1980,3,0.3,5,0,19.1,56.2,11.2,5.2
1981,3.2,0.3,5.2,0,18,53.4,12.2,7.7
1982,3.3,0.3,5.4,0,19.1,51.5,12.1,8.2
1983,3.4,0.3,6.1,0,17.2,50,13.1,9.9
1984,3.4,0.3,6.2,0.1,16.7,47.8,13.2,12.3
1985,3.3,0.3,6.8,0.1,15.9,45.9,14.1,13.5
1986,3.3,0.3,6.7,0.1,13.1,46.6,14.3,15.6
1987,3.3,0.3,6.9,0.1,12.4,46.7,14.4,15.9
1988,3.3,0.3,6.5,0.1,12.2,45.4,14.4,17.8
1989,3.2,0.3,6.5,0.1,12.6,45.6,13.7,18
1990,3.2,0.3,6.8,0.1,11.8,44.8,14.2,18.8
1991,3.1,0.3,7.7,0.1,12,43.7,15,18.2
1992,3.2,0.3,7.6,0.1,10.9,43,15.5,19.5
1993,3.2,0.3,7.4,0.1,8.6,44.3,15.7,20.5
1994,3.4,0.3,7.1,0.1,9,43.2,15.8,21.1
1995,3.3,0.3,7.1,0.1,9.4,42.3,16.3,21.3
