,Food,Fodder,Fuelwood,Water,Coal,Oil,Natural Gas,Primary electricity
,,,,Wind,,,,
,,,,,,,,
1914,6.6,6.3,40.3,0,44.1,1.6,0,1.1
1915,6.5,6.5,40,0,44.1,1.7,0,1.3
1916,6.1,6.2,41.2,0,43.3,1.7,0,1.5
1917,7.9,7.8,57.9,0,23.8,0.7,0,1.9
1918,7.6,7.5,54.7,0,27.7,0.4,0,2.1
1919,7.9,6.6,55.6,0,25.9,1.9,0,2.1
1920,7.8,6.8,46.6,0,34.6,2.1,0,2.2
1921,10.1,8.1,52.2,0,24.9,2.2,0,2.5
1922,8.5,6.8,44.2,0,35.6,2.3,0,2.6
1923,7.9,6.3,40.8,0,39.9,2.6,0,2.6
1924,7.1,5.7,38.6,0,43.1,2.7,0,2.8
1925,7.6,6.2,39.6,0,40.2,3.4,0,3
1926,7.7,6.1,40,0,39.1,3.8,0,3.3
1927,6.6,5.2,33.6,0,47.9,3.6,0,3.1
1928,6.9,5.5,35,0,44.7,4.7,0,3.2
1929,6.2,4.9,32.6,0,48.5,4.6,0,3.3
1930,6.4,4.8,32.2,0,47.4,5.7,0,3.5
1931,6.5,4.9,31.1,0,47.9,6.2,0,3.4
1932,6.6,5.1,30.4,0,47.4,7.2,0,3.3
1933,6.4,4.9,30.1,0,47.7,7.5,0,3.4
1934,6,4.5,28.9,0,49.7,7.3,0,3.6
1935,5.9,4,28.1,0,50.1,8.1,0,3.9
1936,5.5,3.4,26.5,0,51.8,8.7,0,4
1937,5.1,2.9,24.2,0,54.7,9.1,0,3.9
1938,5.4,2.9,25.6,0,50.6,10.8,0,4.6
1939,4.3,2.1,35.1,0,44.8,9.8,0,3.8
1940,5.4,2.4,44.7,0,38.1,4.7,0,4.6
1941,5.7,2.3,50.8,0,34.8,1.2,0,5.3
1942,5.8,2.1,54.9,0,30.4,1.1,0,5.8
1943,5.5,1.8,50.5,0,34.9,1.1,0,6.3
1944,6,1.7,54.3,0,29,1.1,0,7.9
1945,6,1.5,73.6,0,8.8,1.7,0,8.4
1946,6.5,1.5,36,0,29.7,16.8,0,9.4
1947,5.6,1.2,27.4,0,33.2,25.2,0,7.5
1948,5.3,0.9,23.4,0,41.5,21.5,0,7.4
1949,5.8,0.9,24.1,0,38,22.1,0,9.1
1950,5,0.7,21.1,0,38.7,25.5,0,9
1951,4.5,0.5,18.8,0,38.4,29.3,0,8.5
1952,4.5,0.5,17.9,0,36.4,31.6,0,9.1
1953,4.8,0.4,18.7,0,29.3,36.4,0,10.5
1954,4.7,0.3,18.6,0,25.3,40.3,0,10.8
1955,4.1,0.2,16.4,0,25.1,44.3,0,9.9
1956,3.8,0.2,15,0,22,49.4,0,9.7
1957,3.9,0.2,15.4,0,21.5,48.4,0,10.6
1958,4,0.2,15,0,14.6,54.9,0,11.4
1959,4.3,0.2,16.2,0,15.5,50.9,0,12.9
1960,3.7,0.1,14.5,0,14.5,53.9,0,13.2
1961,3.7,0.1,14.6,0,13.1,53,0,15.4
1962,3.5,0.1,12.5,0,12.2,56.2,0,15.6
1963,3.3,0.1,12,0,11.4,58.5,0,14.7
1964,3,0.1,11.8,0,11,58.9,0,15.1
1965,3,0.1,11.6,0,9,60.7,0,15.6
1966,2.7,0.1,10.1,0,8.3,65.1,0,13.8
1967,2.8,0.1,10.7,0,7.2,63.5,0,15.6
1968,2.6,0.1,9.5,0,6.8,66.3,0,14.7
1969,2.4,0.1,9.3,0,5.8,70,0,12.4
1970,2.2,0.1,9.1,0,5.7,71.7,0,11.3
1971,2.3,0.1,9.1,0,5.8,68.8,0,13.9
1972,2.3,0.1,9.4,0,4.8,68.8,0,14.6
1973,2.3,0,9.1,0,5.3,67.6,0,15.6
1974,2.3,0,9.8,0,6.5,65.4,0,15.8
1975,2.2,0,8.6,0,5.8,65.8,0,17.4
1976,2.2,0,8.4,0,6,66.1,0,17.3
1977,2.3,0,8.1,0,4.3,67.7,0,17.6
1978,2.4,0,9.9,0,3.9,62.8,0,20.9
1979,2.1,0.1,9.6,0,5.1,64.1,0,19.1
1980,2.3,0.1,10.5,0,5.1,60.7,0,21.4
1981,2.5,0.1,12.3,0,4.6,54.3,0,26.3
1982,2.6,0.1,11.9,0,5.8,52.4,0,27.3
1983,2.5,0.1,14,0,7,46.9,0,29.6
1984,2.5,0.1,15.3,0,8.8,41,0,32.3
1985,2.3,0,14.1,0,10.3,41.3,0.2,31.7
1986,2.2,0,14,0,9,44.5,0.5,29.8
1987,2.3,0,15.3,0,8.4,39.1,0.8,34
1988,2.2,0,16.7,0,8.2,39.6,0.9,32.4
1989,2.3,0,16.8,0,8.8,36.5,1.3,34.2
1990,2.3,0,17.4,0,8.4,35.7,1.6,34.5
1991,2.4,0,19.4,0,7.4,34.4,1.8,34.7
1992,2.4,0,19.8,0,6.8,34.5,2,34.4
1993,2.4,0,20.7,0,6.7,34,2.2,34
1994,2.4,0,21.1,0,6.9,34.7,2,32.9
1995,2.4,0,21.9,0,6.6,34.2,1.9,33.1
1996,2.3,0,22.3,0,7.3,34.3,1.9,31.8
1997,2.3,0,23.1,0,6.2,33.7,2,32.7
1998,2.3,0,23.7,0,6.2,32.7,2.1,33
1999,2.3,0,23.9,0,6,32.7,2,33
2000,2.3,0,24.7,0,6.1,31.2,1.9,33.7
2001,2.3,0,21,0,6.7,33.7,2.4,34
2002,2.2,0,21,0,7.1,36,2.3,31.4
2003,2.2,0,21.8,0,7.4,35.8,2.3,30.5
2004,2.2,0,23.3,0,7,34.6,2.3,30.7
2005,2.2,0,24.4,0,7.6,32.6,2.2,31
2006,2.3,0,24.4,0,7,32.6,2.4,31.3
2007,2.3,0,27,0,7.3,28.8,2.5,32.1
2008,2.3,0,27,0,6.6,30.5,2.2,31.3
