,Food,Fodder,Fuelwood,Water,Coal,Oil,Natural Gas,Primary electricity
,,,,Wind,,,,
,,,,,,,,
1957,10.9,9.8,9.4,0,45.9,20.8,0,3.3
1958,10.9,9.6,9.5,0,42.4,23.9,0,3.8
1959,11.9,9.7,9.1,0,41.2,23.3,0,4.9
1960,12,9.5,8.9,0,41.3,23,0,5.3
1961,11.8,9.1,9.2,0,40.6,24.1,0,5.1
1962,11.6,8.4,8.9,0,38.9,27.4,0,4.8
1963,11.3,7.9,8.5,0,38,28,0,6.3
1964,10.6,7.4,8,0,33.9,34.4,0,5.8
1965,10.6,6.9,7.6,0,34.3,35.4,0,5.3
1966,9.3,6.1,7.1,0,29.7,41,0,6.8
1967,8.9,5.2,6.7,0,27.3,46.6,0,5.3
1968,8.1,4.5,6,0,26.2,50.4,0,4.8
1969,7.7,4.1,5.8,0,24.1,52.3,0,6
1970,7.5,3.7,5.5,0,23.9,54.2,0,5.2
1971,7.1,3.3,5,0,21.9,57.2,0,5.6
1972,7,2.9,4.9,0,21.7,56.9,0,6.6
1973,6.5,2.5,4.3,0,17.5,62.2,1.8,5.1
1974,6.5,2.1,4.1,0,15.2,65.1,1.8,5.2
1975,6.3,1.9,3.9,0,16.6,64.8,2,4.6
1976,6,1.7,3.7,0,14.6,67.9,2.4,3.6
1977,6.2,1.6,3.8,0,15.9,64.1,2.3,6.1
1978,5.9,1.4,3.6,0,14.9,66.1,2.2,5.8
1979,6.1,1.3,3.6,0,15.5,64.5,2.5,6.5
1980,5.8,1.2,3.8,0,18.5,64,2.6,4
1981,5.7,1.2,3.9,0,21.1,61.4,3.1,3.6
1982,6.1,1.1,3.9,0,24.7,56.9,3.3,3.9
1983,6.1,1.1,3.9,0,25.2,55.7,3.5,4.6
1984,6.2,1,4,0,26.1,52.6,3,7.1
1985,6.4,1,4,0,27.8,50.5,3.1,7.3
1986,6.3,0.9,4,0,27.2,50.5,3.3,7.9
1987,6.4,0.7,3.9,0,25.9,50.9,3.7,8.4
1988,6.2,0.7,3.5,0,20.9,54.3,4.4,10
1989,5.9,0,5,0,24.7,51,5.1,8.2
1990,5.8,0,5.1,0,23.6,51.2,5.7,8.5
1991,5.8,0,4.6,0,23,51.8,6.1,8.6
1992,5.7,0,4.1,0,22.8,53.4,6.3,7.7
1993,5.8,0,4.2,0,22.3,52.6,6.5,8.6
1994,5.5,0,4.1,0,20.9,54.2,6.7,8.6
1995,5.2,0,4.1,0,20.9,53.5,8.2,8
1996,5.4,0,4.2,0,17.7,54.2,9.1,9.4
1997,5.1,0,4,0,19,52.4,11.4,8
1998,4.9,0,4,0,18.4,53,11.2,8.5
1999,4.7,0,3.8,0,19.8,52.1,12.1,7.4
2000,4.6,0,3.7,0,20,50.4,13.3,7.9
2001,4.5,0,3.7,0,17.9,51.1,14.1,8.8
2002,4.3,0,3.7,0,19.5,49.5,15.6,7.4
2003,4.2,0,3.9,0,17.4,49.2,17.1,8.2
2004,3.9,0,3.8,0,17.3,48.5,19.2,7.3
2005,3.8,0,3.9,0.1,16.3,47.6,22.1,6.2
2006,3.8,0,3.9,0.1,14.3,47.9,23,6.9
2007,3.9,0,4.1,0.1,15.2,46,23.8,6.9
2008,4.1,0,4.6,0.1,10.6,45.9,27.4,7.3
