,Food,Fodder,Fuelwood,Water,Coal,Oil,Natural Gas,Primary electricity
,,,,Wind,,,,
,,,,,,,,
1923,5.3,3.1,3.9,0.1,87,0.5,0,0
1924,4,2.4,2.9,0.1,90.1,0.6,0,0
1925,4,2.4,2.8,0.1,89.8,0.8,0,0.2
1926,4.3,2.5,2.9,0,89,1.1,0,0.2
1927,4.1,2.4,2.6,0,89.6,1.1,0,0.2
1928,3.8,2.1,2.3,0,90.4,1.2,0,0.2
1929,3.6,2,2.1,0,90.7,1.4,0,0.2
1930,4.1,2.2,2.3,0,89.2,2.1,0,0.2
1931,4.8,2.5,2.6,0,87.7,2.2,0,0.3
1932,5.3,2.7,2.8,0,87,2,0,0.3
1933,5.1,2.6,2.5,0,87.3,2.1,0,0.3
1934,4.7,2.3,2.2,0,88.1,2.4,0,0.3
1935,4.8,2.4,2.2,0,86.9,3.3,0,0.4
1936,4.5,2.2,1.9,0,87.7,3.3,0,0.4
1937,4.1,2,1.7,0,91.5,0.3,0,0.4
1938,4,1.7,1.5,0,92.1,0.3,0,0.4
1939,3.8,1.6,1.5,0,92.3,0.4,0,0.4
1940,3.7,1.6,1.4,0,92.4,0.6,0,0.4
1941,3.8,1.7,1.5,0,92.1,0.5,0,0.4
1942,3.7,1.6,1.4,0,92.5,0.4,0,0.4
1943,3.8,1.7,1.4,0,92.2,0.4,0,0.4
1944,4.3,2,1.7,0,91,0.5,0,0.5
1945,9,3.9,3.5,0,81.5,0.8,0.1,1.1
1946,7,2.8,2.8,0,85.7,0.7,0.1,0.9
1947,6.2,2.1,2.5,0,87.8,0.6,0.1,0.8
1948,5.4,1.8,2.1,0,87.2,2.7,0.1,0.7
1949,4.9,1.6,1.9,0,89.5,1.5,0,0.6
1950,4.5,1.4,1.7,0,89.4,2.2,0.1,0.6
1951,4.1,1.2,1.5,0,89.3,3.3,0,0.6
1952,3.9,1.1,1.5,0,89.5,3.4,0,0.6
1953,3.9,1,1.5,0,88.9,4.1,0.1,0.5
1954,3.8,1,1.4,0,88.2,5,0.1,0.6
1955,3.4,0.8,1.3,0,87.9,5.8,0.1,0.6
1956,3.3,0.7,1.2,0,86.9,7.1,0.2,0.6
1957,3.2,0.7,1.2,0,86.2,7.9,0.3,0.5
1958,3.2,0.6,1.2,0,84.3,9.8,0.3,0.6
1959,3.4,0.6,1.2,0,81,13,0.3,0.6
1960,3.4,0.5,1.2,0,79.2,14.6,0.4,0.7
1961,3.3,0.4,1.2,0,76.5,17.5,0.4,0.7
1962,3.2,0.3,1.1,0,74.1,20.2,0.5,0.6
1963,3,0.3,1.1,0,71.4,23.2,0.6,0.5
1964,2.9,0.2,1,0,68.3,26.2,0.8,0.4
1965,2.9,0.2,1,0,64,30.1,1.1,0.7
1966,2.9,0.2,1,0,60.4,33.2,1.4,0.8
1967,2.9,0.2,1,0,58,35,1.9,0.9
1968,2.8,0.2,1,0,55.8,36.5,2.9,0.8
1969,2.6,0.2,0.9,0,53.7,38.1,3.8,0.8
1970,2.5,0.2,0.9,0,49,42.5,4,0.9
1971,2.5,0.1,0.8,0,46.5,43.8,5.5,0.8
1972,2.4,0.1,0.9,0,43.8,44.9,6.9,1
1973,2.3,0.1,0.8,0,42,45.2,8.5,1
1974,2.4,0.1,1.1,0,42.7,41.8,10.9,1.1
1975,2.5,0.1,1.1,0,40.7,42.1,12.1,1.4
1976,2.3,0.1,1,0,40.1,43.3,11.9,1.2
1977,2.3,0.1,1.1,0,38.8,43.4,12.5,1.7
1978,2.2,0.1,1,0,38.5,43.1,13.3,1.7
1979,2.1,0.1,1,0,39.2,41.7,13.9,1.8
1980,2.2,0.1,1.3,0,41.6,38.2,14.5,2.1
1981,2.3,0.1,1.4,0,43.9,35.4,14.3,2.6
1982,2.4,0.1,1.6,0,44.9,34.3,13.8,2.9
1983,2.4,0.1,1.6,0,44.9,33.6,14.3,3
1984,2.3,0.1,1.6,0,45.3,32.5,14.6,3.5
1985,2.3,0.1,1.6,0,44.8,32.6,14.2,4.3
1986,2.3,0.1,1.3,0,43.1,34.5,14.6,4.2
1987,2.3,0.1,1.2,0,42.4,33.6,15.9,4.5
1988,2.3,0.1,1.4,0,42.1,33.7,15.6,4.8
1989,2.4,0.1,1.4,0,42.7,31.9,16.5,5
1990,2.4,0.1,1.5,0,40.7,33.8,16.8,4.7
1991,2.5,0.1,1.5,0,36.9,36.2,18.2,4.5
1992,2.5,0.1,1.7,0,34.6,37.7,18.4,4.9
1993,2.6,0.1,1.7,0,32.7,38.4,19.5,5
1994,2.6,0.1,1.7,0,32.1,38.2,20.1,5.1
1995,2.6,0.1,1.8,0.1,30.5,37.9,21.9,5.3
1996,2.5,0.1,1.8,0.1,29.1,37.8,23.6,5
1997,2.6,0.1,2.3,0.1,28.4,38.3,22.9,5.4
1998,2.6,0.1,2.5,0.1,27.8,38.4,23.2,5.2
1999,2.6,0.1,2.4,0.1,27.3,38.1,23.7,5.8
2000,2.6,0.1,2.6,0.1,28.5,36.6,23.5,6
2001,2.5,0.1,2.9,0.1,28.1,36.4,24,5.9
2002,2.6,0.1,3.1,0.1,28,35.4,24.5,6.2
2003,2.6,0.1,3.6,0.1,28.1,34.3,25.5,5.7
2004,2.6,0.1,4,0.1,28.3,33.6,25.2,6
2005,2.6,0.1,4.3,0.1,27.1,33.5,26.2,6
2006,2.6,0.1,5.3,0.1,27.1,33.3,25.6,5.8
2007,2.7,0.1,7.8,0.2,29.7,28.2,25.7,5.6
2008,2.7,0.1,7.8,0.2,27.5,30.5,25.5,5.8
