,Food,Fodder,Fuelwood,Water,Coal,Oil,Natural Gas,Primary electricity
,,,,Wind,,,,
,,,,,,,,
1958,14.1,6.5,40,0.4,10.6,24.4,0,4
1959,14.2,6.2,39.3,0.3,9.2,26.2,0,4.5
1960,14.2,5.8,38.5,0.3,9,27.5,0,4.7
1961,13.3,5.4,36.4,0.3,10.8,28.9,0,5
1962,13.5,5.2,35.6,0.3,10,30.4,0,5.1
1963,13.6,4.9,33.8,0.3,11.1,30.7,0,5.7
1964,12.9,4.7,33.7,0.3,10.8,31.8,0,5.9
1965,13.7,4.4,32.1,0.3,10.1,33.6,0,5.9
1966,13.2,4.2,31.4,0.2,10.9,33.2,0,7
1967,13.4,3.8,30.2,0.2,9.7,35.8,0,6.9
1968,13.2,3.6,29.6,0.2,8.6,38.3,0,6.5
1969,12.8,3.3,27.6,0.2,9,39.7,0,7.4
1970,11.7,2.9,25.5,0.1,7.7,45.6,0,6.3
1971,11.6,2.7,23.8,0.1,5.7,49.3,0,6.7
1972,11.1,2.5,21.9,0.1,4.8,52.5,0,7.1
1973,10.6,2.3,20.6,0.1,5.3,54.2,0,6.9
1974,10.7,2.2,19.8,0.1,4.1,56,0,7.2
1975,10.3,2,18.9,0.1,4,59,0,5.7
1976,10.1,1.9,18.1,0.1,3.8,60.4,0,5.6
1977,9.9,1.8,17.9,0.1,3.8,58.6,0,7.8
1978,9.3,1.7,17.4,0.1,4.1,58.9,0,8.6
1979,8.7,1.6,16.2,0.1,3.9,61.1,0,8.4
1980,8.5,1.5,15.5,0.1,3.6,63.6,0,7.2
1981,8.3,1.4,15,0.1,3.1,66.3,0,5.9
1982,8,1.3,14.7,0,2.6,66.6,0,6.8
1983,7.9,1.3,14.4,0,3,66.3,0,7
1984,8.1,1.3,14.4,0,3.4,65.6,0,7.2
1985,8.5,1.3,15.2,0,6.1,60,0,8.9
1986,8.4,1.2,14.4,0,10.8,58.5,0,6.7
1987,8.5,1.1,14.5,0,13.5,54.9,0,7.5
