,Food,Fodder,Fuelwood,Water,Coal,Oil,Natural Gas,Primary electricity
,,,,Wind,,,,
,,,,,,,,
1920,9.4,2.8,17.6,0,64.1,3.6,1.3,1.1
1921,9.8,3,18.9,0,62,3.8,1.2,1.3
1922,10.6,3.3,20.9,0,57.1,5.2,1.3,1.7
1923,8.5,2.8,17.2,0,64.4,4.3,1.2,1.6
1924,9.7,3.1,19.5,0,59,5.2,1.2,2.2
1925,9.7,3.2,19.8,0,57.9,5.5,1.4,2.4
1926,9,3,18.6,0,59.7,5.5,1.5,2.7
1927,8.2,2.8,17.4,0,60.6,6.2,1.5,3.2
1928,8.1,2.8,17.7,0,58.5,7.6,1.6,3.7
1929,7.7,2.8,17.1,0,57.5,8.9,2,4
1930,7.6,2.7,18.1,0,54.9,10.6,2,4
1931,8.6,3.3,21.2,0,48.1,12.5,2.1,4.3
1932,9.3,3.7,19,0,49.2,11.9,2.1,4.8
1933,9,3.6,19.4,0,48.2,12.7,2,5.1
1934,8,3.2,17.7,0,50.5,13.2,1.8,5.6
1935,7.9,3.3,17.9,0,48.6,14.1,2,6.1
1936,7.6,3.2,17.3,0,51.2,12.2,2.1,6.3
1937,6.9,2.9,16.1,0,50.8,15.2,2.3,5.8
1938,7,3.4,17,0,47.7,16,2.5,6.4
1939,6.5,3,16,0,49.8,15.8,2.4,6.5
1940,6.1,3.1,11.6,0,53.2,17,2.6,6.5
1941,5.5,2.9,12.8,0,52.8,17,2.5,6.4
1942,5.1,2.8,12,0,55.7,15.2,2.4,6.8
1943,4.7,2.7,12.1,0,55.4,15.9,2.3,6.9
1944,4.5,2.6,11.6,0,54.6,17.6,2.3,6.8
1945,4.4,2.9,12.5,0,52.5,18.1,2.6,7
1946,3.6,2.6,12.1,0,53.3,18.9,2.5,7.1
1947,3.2,2.5,11.9,0,52.8,19.6,2.6,7.3
1948,2.8,2.4,11.4,0,52.7,21.1,2.7,6.9
1949,2.7,2.6,12.5,0,47.4,24,3,7.8
1950,2.2,2.4,11.6,0,48.2,24.7,3.2,7.7
1951,1.8,2.4,11.1,0,44.8,28.3,3.5,8.1
1952,1.6,2.4,11.4,0,41.8,30.5,3.6,8.7
1953,1.4,2.5,11.4,0,38,33.5,4,9.1
1954,1.3,2.6,11.7,0,33.2,36.7,4.9,9.6
1955,1.1,2.6,6.5,0,32.2,41.5,6,10.1
1956,0.9,2.5,3.5,0,32.2,44.6,6.4,10
1957,0.9,2.5,3.4,0,28.5,45.5,8.7,10.5
1958,0.8,2.7,3.2,0,23.7,46.9,11,11.7
1959,0.7,2.5,2.9,0,20.8,49.1,12.3,11.7
1960,0.6,2.5,2.6,0,19.2,48,14.9,12.1
1961,0.6,2.5,2.6,0,17.8,50.6,13.6,12.3
1962,0.5,2.4,2.9,0,17.3,49.4,15.1,12.4
1963,0.5,2.4,2.1,0,16.9,50,15.8,12.2
1964,0.4,2.3,1.9,0,17.8,48.5,16.2,12.9
1965,0.4,2.3,1.6,0,17.9,47,17.8,13
1966,0.3,2.1,1.5,0,16.5,47.2,18.8,13.5
1967,0.3,2.2,1.4,0,15.8,47.3,19.4,13.7
1968,0.3,2.1,1.3,0,15.1,47.2,20.6,13.6
1969,0.3,2,1.2,0,14.4,46.3,21.9,13.9
1970,0.2,1.9,0.6,0,15.5,45.4,22.7,13.7
1971,0.2,1.9,0.5,0,13.7,47.3,22.6,13.7
1972,0.2,1.7,0.4,0,13.6,46.7,23.6,13.6
1973,0.2,1.6,0.4,0,11.1,48.7,24.2,13.8
1974,0.2,1.8,0.4,0,10.9,44.7,26.3,15.6
1975,0.2,1.6,0.4,0,12.3,47.2,24.3,14
1976,0.2,1.6,0.4,0,12,47.2,24.2,14.3
1977,0.2,1.5,0.4,0,11.3,50.1,22.8,13.8
1978,0.2,1.5,0.4,0,11,49.6,23.1,14.2
1979,0.2,1.4,0.4,0,12.2,50.2,21.8,13.7
1980,0.2,1.5,0.5,0,12.5,49.7,21.7,14.1
1981,0.2,1.5,0.6,0,13.3,46.3,22.1,16
1982,0.2,1.6,0.6,0,15.1,41.8,23.6,17.1
1983,0.2,1.5,0.6,0,14.1,36.4,31,16.1
1984,0.2,1.5,0.6,0,15.8,34.9,30.6,16.4
1985,0.2,1.6,0.7,0,16.2,35.4,27.7,18.2
1986,0.2,1.7,0.7,0,15,35.4,27.7,19.3
1987,0.2,1.6,0.6,0,15.7,36.1,26.7,19.2
1988,0.2,1.5,0.6,0,16.9,34.5,27.5,18.8
1989,0.2,1.5,0.5,0,15.2,34.7,29.2,18.7
1990,0.2,1.5,0.5,0,15.2,35.6,28.5,18.5
1991,0.2,1.5,0.7,0,15.1,34.1,29.1,19.3
1992,0.2,1.5,0.6,0,15.2,32.5,31.1,18.9
1993,0.2,1.5,0.5,0,13.9,33.1,32.3,18.5
1994,0.2,1.5,0.5,0,13.8,33.2,32.5,18.2
1995,0.2,1.5,0.4,0,13.8,32,33.7,18.4
1996,0.2,1.5,0.3,0,13.8,32.1,34,18
1997,0.2,1.6,0.3,0,14.3,33.1,32.9,17.7
1998,0.2,1.7,0.2,0,11.9,34.4,33,18.6
1999,0.2,1.6,0.2,0,15,33.5,31.3,18.3
2000,0.2,1.7,0.2,0,10.6,34.6,33.9,18.9
2001,0.2,1.5,0.2,0,15.4,33.1,33.4,16.2
2002,0.2,1.7,0.2,0,17.5,35.7,30.9,13.8
2003,0.2,1.5,0.2,0,14.4,34.7,32.3,16.7
2004,0.1,1.5,0.1,0,17,34,30.9,16.3
2005,0.2,1.5,0.1,0,15.8,34.5,30.9,17.1
2006,0.2,1.6,0.2,0,15.4,33.6,31.6,17.5
2007,0.2,1.5,0.1,0,15.8,32.7,32.6,17.1
2008,0.2,1.6,0.2,0,14.7,32.6,32.9,17.9
2009,0.2,1.7,0.2,0,13,33.5,34.2,17.3
2010,0.2,1.7,0.2,0,10.1,35.1,34.7,18
