,Food,Fodder,Fuelwood,Water,Coal,Oil,Natural Gas,Primary electricity
,,,,Wind,,,,
1962,8.6,3.2,7.6,0,15.6,49,9.8,6.2
1963,8.1,2.8,7,0,14.2,52.2,9.1,6.6
1964,7.7,2.6,6.5,0,11.8,57.1,8.9,5.5
1965,7.2,2.1,6,0,12.8,57.7,8.6,5.6
1966,7.1,1.8,5.8,0,11.5,59.4,8.8,5.6
1967,6.8,1.5,5.3,0,11.8,60.5,8.9,5.1
1968,6.3,1.3,4.8,0,10.2,63.4,9.4,4.7
1969,6,1.1,4.5,0,10,64.5,9.7,4.2
1970,5.6,0.9,4,0,8.7,67.5,9.5,3.9
1971,5.9,0.8,4.1,0,8.6,66.8,10,3.8
1972,5.6,0.7,3.9,0,8.5,66.7,10.9,3.6
1973,5.4,0.6,3.6,0,8.3,67.4,11.6,3.2
1974,5.4,0.5,3.6,0,8.7,65.7,12.8,3.3
1975,5.6,0.5,3.7,0,8.1,63.4,15.1,3.6
1976,5.3,0.4,3.5,0,7.9,62.6,17.1,3.2
1977,5.4,0.4,3.5,0,7.9,61.4,17.1,4.2
1978,5.4,0.3,3.5,0,7.8,63.4,15.8,3.8
1979,5.2,0.3,3.4,0,8.5,63.5,15.4,3.8
1980,5.2,0.2,3.4,0,9.4,62.4,15.5,3.8
1981,5.3,0.2,3.4,0,10.4,61.2,15.5,4
1982,5.4,0.2,3.5,0,11.1,59.7,15.9,4.1
1983,5.5,0.2,3.5,0,10.4,59.5,16.5,4.3
1984,5.4,0.1,3.5,0,11.7,55.1,19.1,5.1
1985,5.4,0,3.4,0,12.3,54.5,19.3,5.1
1986,5.4,0,3.4,0,11.6,54.3,20.3,5.1
1987,5.2,0,3.2,0,11.5,53.9,21.9,4.3
1988,5.1,0,3.2,0,10.8,53.4,22.9,4.8
1989,4.9,0,3,0.1,10.2,53.6,23.8,4.4
1990,4.9,0,3,0.1,10.7,51.7,25.3,4.3
1991,4.6,0,2.9,0.1,10,51.3,26.3,4.8
1992,4.7,0,2.9,0.1,9,52,26.4,4.8
1993,4.7,0,2.9,0.1,8,51.9,27.3,5
1994,4.8,0,3,0.1,7.6,52.2,27,5.2
1995,4.5,0,2.8,0.1,7.6,53.1,27.5,4.5
1996,4.5,0,2.8,0.1,7,52.3,28.5,4.8
1997,4.5,0,2.8,0.1,7,51.8,29.1,4.8
1998,4.3,0,2.7,0.1,7,50.5,30.5,4.8
1999,4.3,0,2.6,0.1,6.9,48.4,32.6,5.1
2000,4.2,0,2.6,0.1,7.2,47.5,33.3,5.1
2001,4.2,0,2.6,0.1,7.8,46.6,33.6,5.1
2002,4.2,0,2.6,0.1,8,46.8,33.4,4.9
2003,4.1,0,2.5,0.1,8.3,44.9,35.5,4.6
2004,4.1,0,2.5,0.1,9.3,42.7,36.7,4.6
2005,4,0,2.4,0.1,9.1,41.1,38.8,4.5
2006,4.1,0,2.7,0.1,9.3,40.8,38.5,4.4
2007,4.2,0,2.7,0.2,9.6,39.3,39.7,4.4
2008,4.2,0,3.1,0.2,9.5,37.9,40.4,4.7
