Year,Draught_Livestock,Population,Firewood,Wind,Water,Coal,Oil,Gas,Primary_Electricity,Modern
1973,0.021,0.381,0.487,0.108,0.002,0.979,0,0,0,0.979
1976,0.021,0.373,0.439,0.157,0.01,0.979,0,0,0,0.979
1977,0.021,0.366,0.437,0.163,0.013,0.979,0,0,0,0.979
1979,0.02,0.362,0.422,0.175,0.021,0.98,0,0,0,0.98
1980,0.021,0.363,0.399,0.189,0.029,0.979,0,0,0,0.979
1981,0.022,0.37,0.374,0.196,0.039,0.978,0,0,0,0.978
1982,0.022,0.35,0.38,0.198,0.051,0.978,0,0,0,0.978
1983,0.021,0.352,0.364,0.206,0.057,0.979,0,0,0,0.979
1989,0.018,0.328,0.384,0.2,0.071,0.982,0,0,0,0.982
1990,0.018,0.323,0.389,0.205,0.065,0.982,0,0,0,0.982
1992,0.019,0.3,0.385,0.221,0.075,0.981,0,0,0,0.981
1997,0.018,0.162,0.43,0.305,0.086,0.982,0,0,0,0.982
1998,0.018,0.136,0.439,0.316,0.091,0.982,0,0,0,0.982
2000,0.017,0.104,0.42,0.381,0.078,0.983,0,0,0,0.983
2001,0.019,0.253,0.26,0.383,0.085,0.981,0,0,0,0.981
